"date","cond.","ODO.mg.L","ORP.mV","turb","pH","SSC_calc","campaign","Q_m3_s","V_m_s"
2021-02-12 11:22:19,270.5,13.68,151.2,24.94,7.77,45.9218661708494,"BR-HW",3450,1.73655
2021-02-12 11:22:20,270.4,13.68,151.2,24.86,7.77,45.7813686335468,"BR-HW",3450,1.73655
2021-02-12 11:22:21,270.3,13.68,151.2,24.88,7.77,45.8164949766927,"BR-HW",3450,1.73655
2021-02-12 11:22:22,270.3,13.68,151.2,24.84,7.77,45.7462409826892,"BR-HW",3450,1.73655
2021-02-12 11:22:23,270.2,13.68,151.2,24.86,7.77,45.7813686335468,"BR-HW",3450,1.73655
2021-02-12 11:22:24,270.3,13.68,151.2,22.49,7.77,41.6093168172429,"BR-HW",3450,1.73655
2021-02-12 11:22:25,270.3,13.68,151.2,23.18,7.77,42.8259746371692,"BR-HW",3450,1.73655
2021-02-12 11:22:26,270.3,13.68,151.2,25.35,7.77,46.641590249727,"BR-HW",3450,1.73655
2021-02-12 11:22:27,270.3,13.68,151.2,24.79,7.77,45.6584161270723,"BR-HW",3450,1.73655
2021-02-12 11:22:28,270.3,13.68,151.2,24.45,7.77,45.0609888219003,"BR-HW",3450,1.73655
2021-02-12 11:22:29,270.3,13.68,151.2,24.53,7.77,45.2015943440524,"BR-HW",3450,1.73655
2021-02-12 11:22:30,270.3,13.68,151.2,24.81,7.77,45.6935470520329,"BR-HW",3450,1.73655
2021-02-12 11:22:31,270.3,13.68,151.2,24.17,7.77,44.5687013492349,"BR-HW",3450,1.73655
2021-02-12 11:22:32,270.3,13.68,151.2,27.46,7.77,50.3372108324434,"BR-HW",3450,1.73655
2021-02-12 11:22:33,270.4,13.68,151.2,21.98,7.77,40.7089399852792,"BR-HW",3450,1.73655
2021-02-12 11:22:34,270.4,13.68,151.2,24.63,7.77,45.3773214173653,"BR-HW",3450,1.73655
2021-02-12 11:22:35,270.5,13.68,151.2,27.68,7.77,50.7217622232065,"BR-HW",3450,1.73655
2021-02-12 11:22:36,270.5,13.68,151.2,25.19,7.77,46.3607868873737,"BR-HW",3450,1.73655
2021-02-12 11:22:37,270.5,13.68,151.2,26.08,7.77,47.9217230682842,"BR-HW",3450,1.73655
2021-02-12 11:22:38,270.5,13.68,151.2,26.94,7.77,49.4277021565612,"BR-HW",3450,1.73655
2021-02-12 11:22:39,270.6,13.68,151.2,25.06,7.77,46.1325733988574,"BR-HW",3450,1.73655
2021-02-12 11:22:40,270.6,13.68,151.2,24.64,7.77,45.3948923067026,"BR-HW",3450,1.73655
2021-02-12 11:22:41,270.6,13.68,151.2,24.73,7.77,45.5530154783039,"BR-HW",3450,1.73655
2021-02-12 11:22:42,270.6,13.68,151.2,25.08,7.77,46.1676867250805,"BR-HW",3450,1.73655
2021-02-12 11:22:43,270.6,13.68,151.2,25.38,7.77,46.6942317346905,"BR-HW",3450,1.73655
2021-02-12 11:22:44,270.6,13.68,151.2,25.41,7.77,46.7468703403463,"BR-HW",3450,1.73655
2021-02-12 11:22:45,270.6,13.68,151.1,25.44,7.77,46.7995060702512,"BR-HW",3450,1.73655
2021-02-12 11:22:46,270.6,13.68,151.1,25.33,7.77,46.6064943250424,"BR-HW",3450,1.73655
2021-02-12 11:22:47,270.7,13.68,151.1,25.25,7.77,46.4660977923418,"BR-HW",3450,1.73655
2021-02-12 11:22:48,270.7,13.68,151.1,25.2,7.77,46.3783395102085,"BR-HW",3450,1.73655
2021-02-12 11:22:49,270.7,13.68,151.1,25.23,7.77,46.4309954453621,"BR-HW",3450,1.73655
2021-02-12 11:22:50,270.7,13.68,151.1,25.22,7.77,46.413443789069,"BR-HW",3450,1.73655
2021-02-12 11:22:51,270.7,13.68,151.1,25.24,7.77,46.4485467797419,"BR-HW",3450,1.73655
2021-02-12 11:22:52,270.7,13.68,151.1,25.16,7.77,46.3081270836442,"BR-HW",3450,1.73655
2021-02-12 11:22:53,270.7,13.68,151,25.08,7.77,46.1676867250805,"BR-HW",3450,1.73655
2021-02-12 11:22:54,270.8,13.68,151,25.05,7.77,46.1150162495158,"BR-HW",3450,1.73655
2021-02-12 11:22:55,270.8,13.68,151,24.95,7.77,45.9394268953361,"BR-HW",3450,1.73655
2021-02-12 11:22:56,270.8,13.68,151,24.98,7.77,45.9921071151776,"BR-HW",3450,1.73655
2021-02-12 11:22:57,270.8,13.68,151,24.95,7.77,45.9394268953361,"BR-HW",3450,1.73655
2021-02-12 11:22:58,270.8,13.68,151,24.77,7.77,45.6232838905363,"BR-HW",3450,1.73655
2021-02-12 11:22:59,270.9,13.68,151,24.35,7.77,44.8852019706519,"BR-HW",3450,1.73655
2021-02-12 11:23:00,270.9,13.68,151,23.83,7.77,43.9705685048784,"BR-HW",3450,1.73655
2021-02-12 11:23:01,270.9,13.68,151,24.09,7.77,44.4279994399295,"BR-HW",3450,1.73655
2021-02-12 11:23:02,270.9,13.68,150.9,24.46,7.77,45.0785656750082,"BR-HW",3450,1.73655
2021-02-12 11:23:03,270.9,13.68,150.9,24.21,7.77,44.63904421843,"BR-HW",3450,1.73655
2021-02-12 11:23:04,270.9,13.68,150.9,24.41,7.77,44.9906780813837,"BR-HW",3450,1.73655
2021-02-12 11:23:05,270.9,13.68,150.9,24.54,7.77,45.2191685409448,"BR-HW",3450,1.73655
2021-02-12 11:23:06,271,13.68,150.9,24.61,7.77,45.3421786481821,"BR-HW",3450,1.73655
2021-02-12 11:23:07,271,13.68,150.9,24.67,7.77,45.4476029953789,"BR-HW",3450,1.73655
2021-02-12 11:23:08,271,13.68,151,24.79,7.77,45.6584161270723,"BR-HW",3450,1.73655
2021-02-12 11:23:09,271,13.68,151,24.88,7.77,45.8164949766927,"BR-HW",3450,1.73655
2021-02-12 11:23:10,271,13.68,151,25.01,7.77,46.0447844074542,"BR-HW",3450,1.73655
2021-02-12 11:23:11,271,13.68,151,24.92,7.77,45.8867437442468,"BR-HW",3450,1.73655
2021-02-12 11:23:12,271,13.68,151,24.95,7.77,45.9394268953361,"BR-HW",3450,1.73655
2021-02-12 11:23:13,271,13.68,151,25.02,7.77,46.0623428549451,"BR-HW",3450,1.73655
2021-02-12 11:23:14,271,13.68,151,25.01,7.77,46.0447844074542,"BR-HW",3450,1.73655
2021-02-12 11:23:15,271,13.68,151,25.04,7.77,46.0974587758402,"BR-HW",3450,1.73655
2021-02-12 11:23:16,270.9,13.68,151.1,24.96,7.77,45.9569872941288,"BR-HW",3450,1.73655
2021-02-12 11:23:17,270.9,13.68,151.1,24.95,7.77,45.9394268953361,"BR-HW",3450,1.73655
2021-02-12 11:23:18,270.9,13.68,151.1,24.95,7.77,45.9394268953361,"BR-HW",3450,1.73655
2021-02-12 11:23:19,270.9,13.68,151.1,24.99,7.77,46.0096665377065,"BR-HW",3450,1.73655
2021-02-12 11:23:20,270.9,13.68,151.1,25,7.77,46.0272256350867,"BR-HW",3450,1.73655
2021-02-12 11:23:21,270.9,13.68,151.2,25,7.77,46.0272256350867,"BR-HW",3450,1.73655
2021-02-12 11:23:22,270.9,13.68,151.2,24.96,7.77,45.9569872941288,"BR-HW",3450,1.73655
2021-02-12 11:23:23,270.9,13.68,151.2,24.9,7.77,45.8516200132267,"BR-HW",3450,1.73655
2021-02-12 11:23:24,270.9,13.68,151.2,24.81,7.77,45.6935470520329,"BR-HW",3450,1.73655
2021-02-12 11:23:25,270.9,13.68,151.2,24.85,7.77,45.7638049716507,"BR-HW",3450,1.73655
2021-02-12 11:23:26,271,13.68,151.2,24.79,7.77,45.6584161270723,"BR-HW",3450,1.73655
2021-02-12 11:23:27,271,13.68,151.2,24.79,7.77,45.6584161270723,"BR-HW",3450,1.73655
2021-02-12 11:23:28,271,13.68,151.2,21.89,7.77,40.5499502101919,"BR-HW",3450,1.73655
2021-02-12 11:23:29,271,13.68,151.2,26.69,7.77,48.9901500716479,"BR-HW",3450,1.73655
2021-02-12 11:23:30,271,13.68,151.2,22.56,7.77,41.7328237411584,"BR-HW",3450,1.73655
2021-02-12 11:23:31,271,13.68,151.3,23.1,7.77,42.6849997002191,"BR-HW",3450,1.73655
2021-02-12 11:23:32,271,13.67,151.3,24.14,7.77,44.5159406625053,"BR-HW",3450,1.73655
2021-02-12 11:23:33,271,13.67,151.3,25.39,7.77,46.711778256323,"BR-HW",3450,1.73655
2021-02-12 11:23:34,271,13.67,151.3,24.38,7.77,44.9379415275127,"BR-HW",3450,1.73655
2021-02-12 11:23:35,271,13.67,151.3,27.56,7.77,50.5120245244926,"BR-HW",3450,1.73655
2021-02-12 11:23:36,271,13.67,151.3,24.65,7.77,45.4124628660573,"BR-HW",3450,1.73655
2021-02-12 11:23:37,271,13.67,151.3,24.5,7.77,45.1488697636236,"BR-HW",3450,1.73655
2021-02-12 11:23:38,271,13.67,151.3,24.4,7.77,44.9730995635204,"BR-HW",3450,1.73655
2021-02-12 11:23:39,271,13.67,151.3,24.4,7.77,44.9730995635204,"BR-HW",3450,1.73655
2021-02-12 11:23:40,271,13.67,151.3,24.41,7.77,44.9906780813837,"BR-HW",3450,1.73655
2021-02-12 11:23:41,271,13.67,151.3,24.52,7.77,45.1840198156291,"BR-HW",3450,1.73655
