;PC1;PC2;PC3;PC4;PC5;PC6;Campaign;Date
94;-1.26268866;2.768541975;-0.766331405;0.154768958;0.247687686;0.733091332;EM-LW;2020-09-24 12:14:15
95;-3.266602104;1.858049898;-0.45104513;0.021090861;0.154126918;0.596474437;EM-LW;2020-09-24 12:14:30
96;-3.958061972;1.750860421;-0.417913423;-0.082243579;0.073103804;0.684375878;EM-LW;2020-09-24 12:14:45
97;-2.872693528;2.211214099;-0.361611895;0.162212671;0.206873859;0.895791887;EM-LW;2020-09-24 12:15:00
98;-3.64993896;1.885411938;-0.158134004;0.138453689;0.16694013;0.727814718;EM-LW;2020-09-24 12:15:15
99;0.141375784;3.586102566;-0.346246871;0.645871108;0.494580654;1.116729666;EM-LW;2020-09-24 12:15:30
100;-0.804201377;2.762812529;-0.416320255;0.554756119;0.371507635;0.935556585;EM-LW;2020-09-24 12:15:45
101;-3.85459363;1.667041036;0.047812673;0.24924114;0.21604604;0.660534776;EM-LW;2020-09-24 12:16:00
102;-2.11169237;2.424281211;-0.839340522;-0.033485563;0.219799857;0.753690524;EM-LW;2020-09-24 12:16:15
103;-1.50846248;2.687134087;-0.815832418;0.056101991;0.349577897;0.683744636;EM-LW;2020-09-24 12:16:30
104;-3.79605549;1.793719131;0.476468075;0.53029096;0.333254387;0.852829452;EM-LW;2020-09-24 12:16:45
105;0.296117225;3.680272464;-0.648819835;0.486531187;0.474425251;1.13116551;EM-LW;2020-09-24 12:17:00
106;0.713154458;0.333323902;-0.879470725;0.79345538;-0.313053665;-0.798750996;KAA-MW;2021-01-21 11:07:00
107;4.306568863;1.799566766;-1.801882082;0.845469985;-0.0715978;-0.522634078;KAA-MW;2021-01-21 11:07:15
108;0.076961296;0.147487526;-1.0534691;0.594091625;-0.351475846;-0.784737382;KAA-MW;2021-01-21 11:07:30
109;2.987677319;-0.112420716;-0.690216642;1.966800272;-0.005660991;0.058535854;KAA-MW;2021-01-21 11:08:00
110;2.10116291;0.947788354;-1.231968652;0.751381297;-0.088780515;-0.78007081;KAA-MW;2021-01-21 11:08:30
